callID,callDurationInSeconds,agentsGradeLevel,callType,callEndedByAgent
203,83,D,Outbound,True
204,144,E,Outbound,True
205,60,A,Inbound,False
206,81,A,inbound,False
207,100,D,Outbound,False
208,137,E,Outbound,False
209,77,F,inbound,True
210,73,D,inbound,True
211,63,A,inbound,True
212,95,F,inbound,False
213,85,F,Inbound,True
214,82,D,Inbound,True
215,133,D,Outbound,True
216,88,F,inbound,True
217,73,C,Outbound,True
218,136,F,Outbound,True
219,91,A,Outbound,True
220,78,D,Outbound,True
221,80,F,Outbound,False
222,106,A,Outbound,False
223,134,C,inbound,True
224,132,F,Outbound,True
225,69,C,inbound,True
226,78,C,inbound,True
227,73,C,Inbound,False
228,136,D,inbound,False
229,94,C,inbound,False
230,83,D,Outbound,True
231,106,A,Outbound,True
232,62,D,inbound,True
233,81,F,Inbound,False
234,138,E,inbound,True
235,69,A,inbound,False
236,112,D,Outbound,True
237,80,E,inbound,True
238,93,C,inbound,False
239,111,F,inbound,True
240,123,F,inbound,True
241,74,F,Outbound,True
242,77,C,Outbound,False
243,105,E,Inbound,True
244,105,E,inbound,True
245,78,E,Outbound,True
246,115,A,inbound,False
247,106,C,Inbound,True
248,61,A,Inbound,True
249,92,A,Inbound,True
250,75,D,inbound,True
251,89,D,Outbound,True
252,68,F,inbound,False
253,78,F,inbound,True
254,82,A,Outbound,True
255,60,C,inbound,True
256,84,C,Outbound,True
257,116,D,Inbound,False
258,138,D,inbound,True
259,128,C,Outbound,False
260,94,A,Inbound,True
261,132,A,Inbound,True
262,91,A,Inbound,True
263,69,F,Outbound,True
264,107,F,Outbound,False
265,96,F,Inbound,True
266,131,C,Outbound,True
267,148,C,inbound,True
268,139,E,Inbound,True
269,91,F,Inbound,True
270,140,C,Inbound,True
271,136,D,Outbound,False
272,130,E,inbound,True
273,74,C,inbound,False
274,79,E,Inbound,False
275,101,E,Outbound,True
276,100,A,Outbound,True
277,110,E,Outbound,False
278,98,A,Inbound,True
279,102,D,Outbound,True
280,141,D,Inbound,True
281,68,C,inbound,False
282,90,F,Outbound,False
283,96,E,Outbound,True
284,128,C,Outbound,True
285,136,A,inbound,True
286,131,C,Outbound,True
287,68,F,Outbound,True
288,81,E,Inbound,True
289,148,C,Inbound,True
290,92,F,Inbound,True
291,117,A,Inbound,True
292,68,C,inbound,True
293,119,A,Inbound,False
294,63,E,Inbound,False
295,109,A,inbound,True
296,148,D,Inbound,True
297,147,F,Inbound,False
298,129,D,Outbound,True
299,123,C,inbound,True
300,89,C,Outbound,False
301,137,E,inbound,True
302,122,E,Inbound,True
303,79,F,inbound,True
304,71,D,Inbound,True
305,103,F,Outbound,False
306,129,A,inbound,False
307,126,C,Outbound,False
308,67,D,inbound,True
309,145,D,Inbound,False
310,66,F,Outbound,True
311,95,E,Inbound,True
312,74,A,Outbound,False
313,136,F,Inbound,False
314,69,E,Outbound,True
315,71,D,Inbound,False
316,118,A,inbound,False
317,85,A,inbound,True
318,138,E,Outbound,True
319,68,F,Inbound,True
320,83,F,Outbound,True
321,68,C,Inbound,False
322,140,C,inbound,True
323,96,A,Outbound,True
324,95,F,inbound,True
325,104,E,Inbound,False
326,129,D,Inbound,False
327,127,A,Inbound,True
328,114,C,inbound,False
329,75,C,Outbound,True
330,142,E,Outbound,False
331,139,D,Outbound,True
332,97,F,Inbound,True
333,66,D,inbound,True
334,84,D,Outbound,True
335,111,E,Inbound,False
336,79,D,Inbound,True
337,120,C,Outbound,False
338,102,E,Inbound,True
339,75,C,inbound,True
340,70,C,Outbound,True
341,142,A,Inbound,True
342,147,F,inbound,True
343,65,D,Inbound,True
344,77,A,inbound,True
345,115,F,Outbound,True
346,98,E,inbound,False
347,88,E,inbound,True
348,135,D,Outbound,False
349,133,F,Inbound,False
350,127,C,Inbound,False
351,107,A,Inbound,False
352,129,E,inbound,True
353,148,F,Outbound,True
354,139,E,Inbound,True
355,105,C,inbound,True
356,132,C,inbound,False
357,63,C,Inbound,False
358,131,F,Outbound,True
359,91,F,Outbound,False
360,147,E,inbound,True
361,83,C,Outbound,True
362,111,E,Outbound,False
363,119,E,inbound,True
364,92,F,inbound,True
365,144,F,Outbound,True
366,114,A,Outbound,False
367,77,F,Outbound,True
368,69,C,Inbound,True
369,83,C,inbound,True
370,84,C,inbound,True
371,141,F,Inbound,False
372,99,E,inbound,False
373,124,A,Outbound,True
374,86,D,Inbound,False
375,92,C,inbound,False
376,135,D,inbound,True
377,67,F,Inbound,True
378,69,A,Outbound,False
379,117,C,inbound,False
380,143,C,inbound,False
381,83,C,Inbound,True
382,139,C,inbound,True
383,125,C,Outbound,True
384,125,A,Inbound,False
385,109,F,inbound,False
386,98,E,Inbound,True
387,136,C,Inbound,True
388,110,A,inbound,False
389,139,E,Outbound,True
390,133,A,Inbound,True
391,104,F,Inbound,True
392,99,C,Outbound,True
393,92,A,inbound,True
394,83,C,Inbound,False
395,60,C,Outbound,False
396,139,C,Outbound,True
397,88,F,Outbound,True
398,86,F,inbound,True
399,72,D,inbound,False
400,148,C,inbound,True
401,82,C,Outbound,True
402,117,F,Outbound,False
403,106,E,Inbound,True
404,68,E,inbound,True
405,94,E,Outbound,False
406,141,A,Outbound,False
407,94,E,Inbound,True
408,64,D,Inbound,True
409,66,C,Outbound,False
410,128,A,inbound,True
411,101,F,Inbound,False
412,117,C,inbound,False
413,67,A,inbound,True
414,142,D,inbound,True
415,141,D,inbound,True
416,128,F,Outbound,True
417,123,C,inbound,False
418,85,E,Inbound,False
419,76,A,Inbound,True
420,106,F,Outbound,True
421,107,D,Outbound,False
422,63,A,inbound,True
423,126,D,Inbound,True
424,119,A,inbound,True
425,63,E,Outbound,False
426,66,A,Inbound,True
427,77,D,Inbound,False
428,131,D,Inbound,False
429,74,E,inbound,False
430,141,E,Outbound,False
431,71,F,inbound,True
432,147,A,inbound,True
433,111,D,inbound,True
434,102,C,Outbound,True
435,104,A,Inbound,True
436,66,C,Inbound,False
437,71,C,inbound,True
438,92,A,inbound,True
439,106,A,Inbound,True
440,107,C,Outbound,True
441,82,D,Outbound,False
442,70,F,Inbound,True
443,64,E,inbound,True
444,127,A,Outbound,True
445,122,D,Inbound,True
446,118,A,inbound,True
447,88,C,Outbound,True
448,63,D,inbound,False
449,94,A,inbound,True
450,136,E,inbound,True
451,68,A,Outbound,True
452,84,A,Inbound,True
453,140,C,Inbound,True
454,144,F,Inbound,True
455,130,A,inbound,True
456,105,A,Inbound,False
457,146,D,inbound,True
458,61,E,Inbound,True
459,61,F,Inbound,True
460,146,A,Outbound,False
461,63,E,inbound,True
462,122,A,inbound,True
463,111,E,inbound,True
464,91,C,Outbound,True
465,116,C,inbound,True
466,67,E,Inbound,False
467,121,C,inbound,False
468,100,F,inbound,True
469,102,C,Outbound,False
470,141,C,Outbound,False
471,91,E,Inbound,True
472,125,E,Inbound,False
473,140,C,Inbound,False
474,117,C,inbound,True
475,105,F,inbound,True
476,136,C,Outbound,True
477,78,D,Outbound,True
478,61,C,Inbound,True
479,139,C,Inbound,False
480,101,C,Outbound,True
481,135,A,Outbound,True
482,77,D,Outbound,True
483,139,A,Outbound,True
484,101,A,inbound,False
485,93,A,inbound,True
486,102,F,Inbound,True
487,110,D,Outbound,True
488,127,E,Outbound,False
489,130,C,Outbound,False
490,83,E,inbound,True
491,94,E,Outbound,False
492,115,C,inbound,True
493,83,A,inbound,True
494,106,E,inbound,True
495,147,E,inbound,True
496,105,A,Inbound,True
497,121,E,Inbound,True
498,111,A,Outbound,False
499,87,A,inbound,False
500,121,F,Outbound,True
501,141,C,inbound,True
502,109,D,Outbound,True
503,141,A,Outbound,True
504,121,C,inbound,False
505,64,C,Outbound,True
506,133,C,inbound,False
507,79,C,Outbound,True
508,146,D,Outbound,True
509,130,D,Inbound,True
510,71,A,Outbound,True
511,138,A,Inbound,True
512,61,D,Inbound,False
513,111,C,Outbound,True
514,64,D,Inbound,False
515,63,C,Outbound,True
516,148,C,Outbound,False
517,125,F,Outbound,False
518,128,D,inbound,True
519,75,F,inbound,True
520,130,A,Inbound,False
521,126,F,inbound,True
522,111,F,Outbound,True
523,144,F,Inbound,False
524,60,A,Outbound,True
525,86,D,Outbound,True
526,137,E,inbound,True
527,123,C,Outbound,True
528,89,C,inbound,True
529,86,F,Outbound,True
530,83,A,Outbound,True
531,120,D,Inbound,False
532,133,F,Inbound,True
533,82,C,Inbound,False
534,84,A,inbound,True
535,145,F,Inbound,False
536,107,F,inbound,True
537,126,C,Outbound,True
538,111,D,Outbound,False
539,109,F,Outbound,False
540,77,C,inbound,False
541,108,F,Inbound,True
542,61,D,inbound,True
543,107,E,inbound,True
544,85,A,inbound,True
545,117,F,Inbound,True
546,147,A,Outbound,False
547,66,F,inbound,True
548,137,E,Inbound,True
549,72,D,inbound,True
550,118,C,Outbound,False
551,120,C,inbound,False
552,113,F,Outbound,False
553,86,C,Inbound,True
554,117,D,Outbound,True
555,102,E,inbound,False
556,98,C,inbound,True
557,87,C,inbound,True
558,123,A,Inbound,True
559,123,A,inbound,True
560,117,E,inbound,True
561,63,F,Outbound,True
562,131,A,Inbound,False
563,112,F,Outbound,False
564,95,F,Inbound,False
565,108,C,Outbound,True
566,74,F,Outbound,True
567,144,E,inbound,True
568,142,D,inbound,False
569,106,D,Outbound,True
570,146,E,inbound,True
571,88,C,Inbound,True
572,62,A,Inbound,False
573,107,D,inbound,False
574,100,F,inbound,False
575,113,F,Outbound,False
576,119,C,Inbound,False
577,62,E,Outbound,False
578,72,D,Inbound,True
579,129,A,inbound,True
580,72,A,Inbound,False
581,112,C,Outbound,False
582,132,C,inbound,False
583,137,D,Inbound,True
584,95,E,Inbound,False
585,107,A,Inbound,True
586,135,C,inbound,True
587,96,D,Inbound,False
588,71,D,Inbound,True
589,111,D,Inbound,False
590,139,F,Outbound,True
591,117,E,inbound,True
592,75,E,Inbound,True
593,133,E,Inbound,True
594,60,D,inbound,True
595,105,F,Inbound,True
596,147,E,Outbound,True
597,90,A,inbound,True
598,89,F,Outbound,True
599,146,D,Inbound,False
600,103,C,Outbound,False
